method,hyperparameter,value,seconds,knn_overlap,trustworthiness
PCA,n_components,2,0.015085399994859472,0.13708031905026896,0.8173986582924441
t-SNE,perplexity,5,7.293122500006575,0.467557039510295,0.9740378814162064
t-SNE,perplexity,15,8.27670109999599,0.5079577072899276,0.9802951053961287
t-SNE,perplexity,30,10.27394309999363,0.5166388425153032,0.9817423795180786
t-SNE,perplexity,50,11.021770399995148,0.5128918567983677,0.9824689234238784
UMAP,n_neighbors,5,14.330455399991479,0.4328695974772769,0.9680276555961886
UMAP,n_neighbors,15,5.528562300009071,0.44804303468744205,0.9735169079034183
UMAP,n_neighbors,50,6.356776400003582,0.42548692264885923,0.9699936446752354
UMAP,n_neighbors,100,6.772986100011622,0.41773325913559634,0.9648949552021753
UMAP,min_dist,0.0,5.70297890000802,0.4351326284548321,0.973765683630302
UMAP,min_dist,0.1,5.8607333000109065,0.4327212020033389,0.9712427305352757
UMAP,min_dist,0.35,5.673095299993292,0.4307549619736598,0.9691745836363039
UMAP,min_dist,0.7,5.71430490000057,0.40437766648117235,0.9617953802916339
